"PlayerName","Team","POS","ADP","PA","mAVG","mRBI","mR","mSB","mHR","PTS","aPOS","Dollars"
"Mike Tauchman","Rockies","OF","600.4","91","($62.7)","($36.7)","($21.9)","($15.4)","($50.8)","($187.6)","$46.4","($140.2)"
"Jose Reyes","","3B/SS","999.0","124","($64.8)","($36.3)","($21.8)","($12.6)","($48.5)","($184.0)","$42.6","($140.5)"
"Kyle Farmer","Reds","3B","999.0","136","($62.4)","($35.7)","($23.6)","($19.3)","($49.8)","($190.7)","$48.5","($141.3)"
"Alen Hanson","Giants","2B/OF","576.5","53","($69.6)","($38.8)","($23.7)","($16.5)","($52.1)","($200.7)","$58.1","($141.5)"
"Ronald Torreyes","Twins","2B","999.0","71","($64.8)","($38.9)","($23.3)","($19.9)","($53.8)","($200.7)","$58.1","($141.5)"
"Alex Blandino","Reds","2B","601.0","90","($69.7)","($37.7)","($24.0)","($19.3)","($50.5)","($201.2)","$58.1","($142.0)"
"Brad Miller","Dodgers","1B/2B","999.0","61","($72.2)","($37.4)","($22.6)","($20.0)","($49.5)","($201.6)","$58.1","($142.4)"
"Andrew Toles","Dodgers","OF","600.9","106","($64.5)","($36.2)","($22.8)","($17.3)","($49.0)","($189.8)","$46.4","($142.4)"
"Brandon Dixon","Tigers","1B/OF","999.0","92","($67.9)","($36.0)","($22.3)","($15.8)","($48.0)","($190.1)","$46.4","($142.7)"
"Cameron Maybin","Giants","OF","596.3","111","($65.1)","($38.8)","($23.2)","($11.6)","($51.5)","($190.1)","$46.4","($142.7)"
"Austin Jackson","","OF","999.0","181","($61.1)","($38.8)","($23.6)","($16.4)","($50.7)","($190.6)","$46.4","($143.3)"
"Jorge Bonifacio","Royals","OF","599.9","131","($66.0)","($35.8)","($22.3)","($19.8)","($46.8)","($190.8)","$46.4","($143.4)"
"Jose Pirela","Padres","2B/OF","600.0","49","($68.8)","($39.0)","($23.3)","($19.3)","($52.3)","($202.6)","$58.1","($143.5)"
