"PlayerName","Team","POS","ADP","IP","mW","mSV","mERA","mWHIP","mSO","PTS","aPOS","Dollars"
"Chris Rusin","Rockies","SP/RP","924.3","65","($24.7)","($13.5)","($27.8)","($30.4)","($31.8)","($128.3)","$63.3","($64.0)"
"Tyler Wilson","Orioles","SP/RP","999.0","53","($24.7)","($13.5)","($29.8)","($22.9)","($37.7)","($128.6)","$63.3","($64.3)"
"Zach Eflin","Phillies","SP","882.4","65","($24.7)","($13.5)","($39.0)","($16.9)","($34.6)","($128.7)","$63.3","($64.4)"
"Tim Adleman","Reds","SP","784.2","123","($6.3)","($13.5)","($57.9)","($36.1)","($15.0)","($128.9)","$63.3","($64.6)"
"Miguel Almonte","Royals","RP","999.0","41","($24.7)","($11.9)","($20.6)","($25.0)","($36.1)","($118.3)","$52.5","($64.8)"
"Jesse Hahn","Athletics","SP","768.0","49","($29.3)","($13.5)","($20.5)","($28.1)","($38.1)","($129.5)","$63.3","($65.2)"
"Luis Garcia","","RP","999.0","39","($29.3)","($13.5)","($12.2)","($27.6)","($36.1)","($118.7)","$52.5","($65.2)"
"Daniel Mengden","Athletics","SP","743.6","77","($15.5)","($13.5)","($40.7)","($36.1)","($24.0)","($129.9)","$63.3","($65.6)"
"Brett Anderson","Cubs","SP","583.6","73","($20.1)","($13.5)","($31.4)","($33.6)","($31.5)","($130.1)","$63.3","($65.8)"
"Carlos Estevez","Rockies","RP","840.0","56","($24.7)","($11.9)","($29.3)","($25.7)","($28.3)","($119.9)","$52.5","($66.4)"
"Tom Wilhelmsen","Mariners","RP","999.0","39","($29.3)","($13.5)","($19.7)","($19.8)","($37.7)","($120.0)","$52.5","($66.5)"
"Kendall Graveman","Athletics","SP","370.2","188","$7.5","($13.5)","($55.8)","($64.6)","($4.4)","($130.9)","$63.3","($66.6)"
"Tanner Scheppers","Rangers","RP","937.6","42","($29.3)","($13.5)","($19.1)","($20.7)","($37.3)","($120.1)","$52.5","($66.6)"
"Edinson Volquez","Marlins","SP","389.1","185","$7.5","($13.5)","($56.3)","($75.3)","$6.1","($131.5)","$63.3","($67.2)"
"Josh Smith","Reds","RP","999.0","39","($29.3)","($13.5)","($19.7)","($19.8)","($38.5)","($120.8)","$52.5","($67.3)"
"Colby Lewis","","SP","658.2","160","$2.9","($13.5)","($76.7)","($37.2)","($7.2)","($131.7)","$63.3","($67.5)"
"Mike Bolsinger","Blue Jays","SP","999.0","65","($24.7)","($11.9)","($35.2)","($32.4)","($27.5)","($131.8)","$63.3","($67.5)"
"Enrique Burgos","Diamondbacks","RP","940.8","53","($29.3)","($10.2)","($22.3)","($32.5)","($27.1)","($121.6)","$52.5","($68.1)"
"A.J. Cole","Nationals","SP","999.0","88","($20.1)","($13.5)","($47.6)","($30.5)","($20.9)","($132.6)","$63.3","($68.3)"
"Mike Minor","Royals","RP","840.8","60","($24.7)","($13.5)","($27.4)","($26.3)","($30.7)","($122.6)","$52.5","($69.1)"
"Dillon Gee","Rangers","SP/RP","999.0","45","($29.3)","($13.5)","($26.1)","($25.5)","($38.9)","($133.4)","$63.3","($69.1)"
"Jake Thompson","Phillies","SP","999.0","76","($20.1)","($13.5)","($38.4)","($32.6)","($29.1)","($133.7)","$63.3","($69.4)"
"Enny Romero","Nationals","RP","995.6","45","($29.3)","($13.5)","($22.4)","($25.5)","($32.6)","($123.4)","$52.5","($69.9)"
"Trevor Cahill","Padres","RP","765.6","72","($24.7)","($13.5)","($21.6)","($39.7)","($24.0)","($123.6)","$52.5","($70.1)"
